7.007203,7.167812,10.23973,13.31165,3.421576
10.06863,10.29941,14.71344,19.12747,3.421576
3.319987,3.396083,4.851547,6.307012,3.421576
2.418298,2.473727,3.533895,4.594064,3.421576
3.208237,3.281772,4.688245,6.094719,3.421576
2.688305,2.749922,3.92846,5.106998,3.421576
2.802284,2.866513,4.095019,5.323524,3.421576
2.534826,2.592925,3.704179,4.815433,3.421576
2.908028,2.974681,4.249545,5.524408,3.421576
1.91495,1.958842,2.798346,3.637849,3.421576
5.893995,6.029088,8.612983,11.19688,3.421576
2.761755,2.825056,4.035794,5.246531,3.421576
2.195775,2.246103,3.208719,4.171335,3.421576
3.890925,3.980107,5.685867,7.391626,3.421576
3.201727,3.275112,4.678732,6.082352,3.421576
4.032472,4.124898,5.892711,7.660525,3.421576
2.623417,2.683547,3.833639,4.983731,3.421576
2.923254,2.990257,4.271796,5.553334,3.421576
2.867117,2.932833,4.189761,5.446689,3.421576
5.391585,5.515162,7.878804,10.24244,3.421576
3.669707,3.753818,5.362597,6.971377,3.421576
2.316712,2.369812,3.385446,4.40108,3.421576
2.561816,2.620534,3.74362,4.866706,3.421576
2.342476,2.396167,3.423095,4.450024,3.421576
2.466143,2.522668,3.603812,4.684956,3.421576
3.669268,3.753369,5.361956,6.970543,3.421576
4.465703,4.568059,6.525799,8.48354,3.421576
2.69749,2.759318,3.941883,5.124448,3.421576
2.752991,2.816091,4.022986,5.229883,3.421576
2.836481,2.901495,4.144992,5.38849,3.421576
2.486613,2.543607,3.633725,4.723843,3.421576
2.460214,2.516604,3.595148,4.673693,3.421576
3.533618,3.61461,5.163729,6.712848,3.421576
